Player,Goal-Scoring Efficiency,Creativity Efficiency,avg,D&B Efficiency,Defending Efficiency,Pos,Squad,Age,Gls,SoT,SoT(Per),G-xG,Big Chances Missed,GCA,Assists,xA,KP,PPA,CrsPA,SCA,Tackles TklW,Tackles Won (Per),Pressures Succ,Blocks and Interceptions,Clearances,Mistake To Goal,Mistake To Goal,Recoveries,Aerial Duels Won%,Dribbles Succ(Per),SCA Drib,GCA Drib,Carry PrgDist,Carries Final Third,Carry into box,Minutes Played
Kevin De Bruyne,1.000,1.000,1.000,1.000,0.715,CAM,Manchester City,29,6,25,31.6,-3.7,0.13,19,12,10.2,79,79,9,142,31,0.84,122,43,7,0,1.5,157,36.4,58,7,2,4210,82,31,1997
Jack Grealish,1.000,0.965,0.983,1.000,0.755,CAM,Aston Villa,24,6,17,34.7,1.7,0.25,21,10,8.6,83,72,4,150,19,0.7,100,39,6,1,1,199,37.5,65.6,8,0,5758,91,80,2185
Bruno Fernandes,1.000,0.774,0.887,0.506,0.695,CAM,Manchester Utd,25,18,40,36.4,2.6,0.13,27,12,11,94,96,8,168,39,0.65,179,62,27,0,1.5,239,23.2,46.4,4,0,4259,73,13,3099
Rodrigo,0.991,0.699,0.845,0.713,0.685,CAM,Leeds United,29,7,17,35.4,0.7,0.5,11,2,2.4,28,20,4,64,13,0.65,66,18,16,0,1.5,101,42.4,62.1,5,2,1113,19,11,1288
Callum Hudson-Odoi,0.795,0.834,0.815,1.000,0.658,CAM,Chelsea,19,2,6,26.1,0.6,1.5,8,3,3.1,31,38,11,57,12,0.5,54,28,8,0,1.5,73,31.3,53.6,2,1,2593,33,34,1059
Jesse Lingard,1.000,0.604,0.802,0.660,0.569,CAM,West Ham,27,9,20,50,3.9,0.5,11,4,1.5,17,26,4,61,10,0.67,71,14,1,0,1.5,88,0,42.9,2,0,2523,49,16,1421
Phil Foden,1.000,0.583,0.792,0.934,0.577,CAM,Manchester City,20,9,20,44.4,3.5,0.25,14,5,4.1,34,24,2,67,16,0.62,88,27,12,0,1.5,93,31.8,60.6,9,1,2237,33,37,1616
Mohamed Salah,1.000,0.572,0.786,0.496,0.569,CAM,Liverpool,28,22,46,38.3,1.1,0.05,14,5,6.3,54,74,12,117,13,0.5,153,23,11,1,1,191,28.8,51,6,0,3460,52,54,3078
Xherdan Shaqiri,0.549,1.000,0.775,0.301,0.922,CAM,Liverpool,28,0,0,0,-0.4,1.5,3,2,3,19,26,5,32,4,0.67,33,12,1,0,1.5,61,30,100,0,0,457,9,0,556
Juan Mata,1.000,0.497,0.749,0.517,0.456,CAM,Manchester Utd,32,1,3,75,-0.1,1.5,5,2,0.8,8,4,1,18,2,1,14,4,3,0,1.5,28,25,75,0,0,583,14,4,509
Hakim Ziyech,0.644,0.840,0.742,0.477,0.699,CAM,Chelsea,27,2,12,34.3,0.1,1,7,3,3.7,34,32,6,70,7,0.7,61,24,1,0,1.5,94,12,52.9,3,0,1269,22,12,1172
Riyad Mahrez,0.838,0.641,0.740,0.872,0.523,CAM,Manchester City,29,9,22,37.9,3.4,0.2,14,6,5.9,41,52,6,84,15,0.75,59,30,3,0,1.5,123,45.5,48.6,5,2,3040,45,48,1949
James RodrÃ­guez,0.831,0.616,0.724,0.438,0.646,CAM,Everton,29,6,19,51.4,2.6,1.5,13,4,5.4,43,41,7,72,14,0.7,61,40,1,0,1.5,141,25,61.7,4,0,1810,28,10,1764
Pablo HernÃ¡ndez,0.715,0.715,0.715,1.000,0.945,CAM,Leeds United,35,0,3,20,-1.2,1,3,2,0.7,6,13,1,20,2,0.4,19,7,1,0,1.5,51,0,75,1,0,1166,23,6,427
James Maddison,0.699,0.703,0.701,0.541,0.632,CAM,Leicester City,23,8,24,32.4,3.6,1.5,11,5,5.3,52,35,5,105,27,0.73,94,24,6,0,1.5,149,14.3,58.2,7,0,2436,41,14,2099
Willian,0.796,0.600,0.698,0.590,0.569,CAM,Arsenal,31,1,3,15,-1.1,1,11,5,2.5,29,30,10,60,6,0.38,49,34,4,0,1.5,84,27.3,54.5,2,0,2262,42,11,1406
Martin Ãdegaard,0.706,0.682,0.694,0.500,0.590,CAM,Arsenal,21,1,3,20,-0.1,1.5,6,2,2.1,21,18,1,42,5,0.71,44,8,5,0,1.5,56,6.7,66.7,1,0,1183,17,5,866
Mason Mount,0.537,0.793,0.665,0.782,0.784,CAM,Chelsea,21,6,26,31.7,-0.8,0.33,14,5,7.8,90,58,7,163,44,0.59,205,83,15,0,1.5,244,28.8,63.3,10,1,4946,100,38,2890
Ãrik Lamela,0.772,0.510,0.641,0.725,0.726,CAM,Tottenham,28,1,9,40.9,-0.4,1.5,5,0,0.9,8,10,0,26,11,0.61,49,12,1,0,1.5,48,22.7,68,1,0,1227,28,2,717
SaÃ¯d Benrahma,0.662,0.601,0.631,0.581,0.783,CAM,West Ham,24,1,11,31.4,-1.3,0.33,9,6,4.4,27,22,6,55,21,0.68,73,28,10,0,1.5,124,16.7,57.8,3,0,2120,32,15,1391
Nicolas PÃ©pÃ©,0.938,0.322,0.630,0.807,0.621,CAM,Arsenal,25,10,20,41.7,3,0.33,9,1,0.9,11,17,1,37,16,0.8,60,43,13,1,1,103,52.2,39.7,4,2,1935,18,31,1616
Raheem Sterling,0.706,0.555,0.630,1.000,0.427,CAM,Manchester City,25,10,28,41.8,-2.2,0.08,15,7,4.8,38,29,5,100,18,0.9,83,31,2,0,1.5,123,16.1,55.2,14,3,3686,53,62,2536
Sadio ManÃ©,0.630,0.621,0.625,0.670,0.595,CAM,Liverpool,28,11,35,37.6,-4.2,0.06,12,7,5.7,57,67,10,124,32,0.76,158,54,7,0,1.5,160,25.9,59.2,10,0,3848,71,54,2810
Marc Albrighton,0.641,0.590,0.616,0.449,0.951,CAM,Leicester City,30,1,9,42.9,-0.3,1,11,5,4.4,39,42,16,71,31,0.72,129,60,26,0,1.5,188,31.9,50,4,0,1847,24,8,1746
Alireza Jahanbakhsh,0.231,1.000,0.616,0.612,0.730,CAM,Brighton,26,0,3,15.8,-1.6,0.5,1,1,3.2,11,19,5,20,5,0.63,25,16,1,0,1.5,41,23.5,83.3,1,0,767,15,9,528
Allan Saint-Maximin,0.678,0.550,0.614,1.000,0.535,CAM,Newcastle Utd,23,3,12,40,0.4,0.33,10,4,3.3,28,10,2,61,11,0.73,52,22,0,0,1.5,100,27.8,67.5,12,1,2890,50,27,1560
Manuel Lanzini,0.730,0.497,0.613,0.555,1.000,CAM,West Ham,27,1,3,25,-0.2,1,4,1,0.9,11,4,0,20,6,1,37,21,5,0,1.5,67,10,66.7,1,0,839,14,1,566
Bernard,0.641,0.579,0.610,0.574,1.000,CAM,Everton,27,1,2,33.3,0.8,1.5,1,0,0.6,10,11,2,17,4,0.8,18,16,3,0,1.5,59,,58.8,1,0,680,9,2,455
Matheus Pereira,0.657,0.562,0.610,0.442,0.672,CAM,West Brom,24,11,24,39.3,3.8,0.5,12,6,5.4,57,43,9,103,20,0.61,116,59,18,0,1.5,204,23.1,50.6,5,0,2799,48,19,2577
Harvey Barnes,0.704,0.492,0.598,1.000,0.574,CAM,Leicester City,22,9,25,45.5,2.8,0.2,8,4,1.5,25,19,2,68,14,0.64,69,40,13,0,1.5,134,40.7,40.6,8,2,3579,83,38,1945
Martinelli,0.520,0.642,0.581,0.733,0.688,CAM,Arsenal,19,2,8,40,-1.4,0.5,1,1,2.1,9,7,3,21,1,0.17,29,18,6,0,1.5,33,30,55.2,3,0,647,7,9,589
Ryan Fraser,0.439,0.681,0.560,0.298,0.486,CAM,Newcastle Utd,26,0,6,46.2,-0.9,1,4,2,2.1,25,10,9,38,1,0.25,19,11,3,0,1.5,58,16.1,57.1,0,0,750,7,5,928
Christian Pulisic,0.522,0.562,0.542,0.699,0.668,CAM,Chelsea,21,4,16,37.2,-1.4,0.2,8,2,2.8,26,40,2,67,17,0.68,109,40,9,0,1.5,120,30.4,48.9,5,0,2831,54,27,1738
Morgan Gibbs-White,0.504,0.577,0.541,0.673,0.945,CAM,Wolves,20,1,3,33.3,0,1,1,0,0.6,9,3,0,17,6,0.86,37,10,1,0,1.5,38,22.2,53.8,0,0,589,15,2,414
Bukayo Saka,0.517,0.540,0.528,0.624,0.643,CAM,Arsenal,18,5,21,34.4,-1.9,0.17,12,3,4.7,38,29,8,98,19,0.56,111,67,32,0,1.5,176,25.9,52.5,8,1,3487,54,37,2553
Leandro Trossard,0.475,0.581,0.528,0.538,0.676,CAM,Brighton,25,5,23,39.7,-0.1,0.2,11,5,4.3,46,64,15,100,20,0.74,131,65,5,0,1.5,202,17.6,61.8,5,1,3212,55,21,2607
Bernardo Silva,0.502,0.545,0.523,0.902,0.610,CAM,Manchester City,25,2,13,46.4,-0.8,0.33,10,6,3.7,32,32,0,80,21,0.66,111,41,9,0,1.5,137,25.6,70.7,5,0,5004,96,32,2065
Pedro Neto,0.421,0.612,0.517,0.920,0.537,CAM,Wolves,20,5,21,34.4,0.2,0.25,9,6,6.2,60,39,24,111,18,0.86,95,54,11,0,1.5,151,33.9,60.7,13,1,5060,90,54,2550
Kai Havertz,0.593,0.435,0.514,0.602,0.640,CAM,Chelsea,21,4,15,42.9,-2.3,0.11,8,3,1.6,17,19,2,47,11,0.58,59,38,15,1,1,111,47.2,47.8,3,0,1703,45,16,1520
Ademola Lookman,0.438,0.589,0.514,0.660,0.662,CAM,Fulham,22,4,21,30.9,-1.5,0.25,11,4,5.2,60,42,5,115,29,0.76,155,67,13,0,1.5,200,16.3,63.8,5,2,3891,63,41,2747
Daniel Podence,0.501,0.516,0.509,1.000,0.580,CAM,Wolves,24,3,14,43.8,-0.1,1.5,7,2,1.9,23,21,3,61,7,0.39,66,22,6,0,1.5,113,27.6,56.9,10,4,1920,27,19,1661
Ayoze PÃ©rez,0.497,0.510,0.503,0.657,0.883,CAM,Leicester City,27,2,13,41.9,-1.2,0.25,6,1,1.2,23,27,5,48,15,0.47,91,50,6,0,1.5,94,18,49.1,5,1,1592,27,3,1331
Dele Alli,0.493,0.499,0.496,0.479,1.000,CAM,Tottenham,24,0,4,33.3,-1.3,0.33,3,1,0.9,8,9,1,22,15,0.75,58,23,4,0,1.5,66,43.5,45.5,0,0,732,16,4,620
Lucas Moura,0.607,0.359,0.483,0.553,0.799,CAM,Tottenham,27,3,6,33.3,0.8,1,8,4,2.3,16,14,3,36,22,0.65,65,38,11,0,1.5,128,38.2,55.4,1,0,2014,42,7,1411
Jarrod Bowen,0.518,0.428,0.473,0.405,0.605,CAM,West Ham,23,8,16,29.1,1.7,0.14,11,5,4.6,28,22,9,78,14,0.61,97,61,5,0,1.5,175,25,62.5,4,0,2363,28,37,2562
Emile Smith Rowe,0.506,0.421,0.464,0.470,0.628,CAM,Arsenal,20,2,4,30.8,0,1,7,4,3,24,14,2,43,8,0.57,62,31,15,0,1.5,106,47.1,24.1,2,0,1820,29,14,1440
