Player,"GOAL-SCORING DEA EFFICIENCY SCORE (RWRs, NO POSITIVE WEIGHTS)",DEA Cross Effieicny (Goal-Scoring),Creativity. Effiiency,DEA Cross Effieicncy (Creativity),Dribbling and Ball Carrying Efficiency,DEA Cross Effieicncy (DRIBBLING AND BALL CARRYING),,Defending Efficiency,DEA Cross Effieicncy (DEFENDING),,Pos,Squad,Age,Gls,SoT,SoT(Per),G-xG,Big Chances Missed,GCA,Assists,xA,KP,PPA,SCA,Progressive Passes,Tackles TklW,Tackles Won (Per),Pressures Succ,Blocks and Interceptions,Clearances,Mistake To Goal,Recoveries,Aerial Duels Won%,Dribbles Succ(Per),SCA Drib,GCA Drib,Carry PrgDist,Carries Final Third,Carry into box,Minutes Played,Team Points
Aaron Connolly,0.716696728,0.173,0.62341319,0.41,0.83988474,0.75,6,0.85864966,0.57,7,Strikers,Brighton,20.00,1.35,1.45,2.27,2.40,1.41,1.16,1.29,1.00,1.05,1.00,1.24,1,1.52,3.38,1.65,1.25,1.00,1.00,1.33,26.80,4.86,1.57,1.00,1.22,1.33,1.26,1.51,41
Adama Traore,0.449059628,0.065,0.845311481,0.55,1,0.95,1,0.787194817,0.44,32,Strikers,Wolves,24.00,1.35,1.91,1.73,2.81,5.00,1.96,1.57,3.39,3.85,2.37,4.63,2.79104478,3.84,3.41,3.31,3.16,2.50,3.00,4.13,51.00,4.44,5.00,1.67,5.00,5.00,4.87,4.07,45
Aleksandar Mitrovic,0.714228686,0.125,0.804694927,0.52,0.711125179,0.55,31,0.807663026,0.53,14,Strikers,Fulham,25.00,1.52,2.27,1.75,1.76,1.55,1.80,1.86,2.10,1.99,1.66,2.41,1.50746269,2.03,3.97,2.42,2.02,1.60,1.00,1.90,47.20,3.55,1.95,1.67,1.28,1.19,1.19,2.35,28
Alexandre Lacazette,0.613050629,0.205,0.651906692,0.38,0.459103684,0.4,48,0.863727294,0.57,7,Strikers,Arsenal,29.00,3.26,3.00,5.00,3.92,1.17,1.80,1.57,2.15,1.77,2.10,2.38,2.28358209,3.32,3.64,3.31,2.65,2.20,1.00,2.81,33.00,3.31,1.57,1.00,1.42,1.42,1.39,3.07,61
Anthony Martial,0.863946062,0.134,0.780400619,0.42,0.76214901,0.66,18,0.64666793,0.36,47,Strikers,Manchester Utd,24.00,1.70,2.64,3.91,2.08,1.14,2.28,1.86,1.83,1.60,1.77,2.28,2.19402985,1.00,5.00,1.70,2.33,1.80,1.00,2.04,39.50,3.69,1.57,1.00,2.06,2.27,2.1,2.46,74
Anwar El Ghazi,0.599187061,0.201,0.728826035,0.47,0.7660732,0.63,22,0.716242188,0.4,39,Strikers,Aston Villa,25.00,2.74,3.09,3.26,3.48,1.55,1.16,1.00,1.97,2.10,1.93,2.68,2.07462687,2.16,2.88,1.94,2.02,2.10,1.00,2.44,37.50,3.03,1.76,1.00,2.24,2.46,2.03,2.64,55
Ashley Barnes,0.547396345,0.131,0.650938957,0.38,0.53480338,0.47,41,0.801447622,0.45,27,Strikers,Burnley,30.00,1.52,1.82,1.80,2.21,1.77,1.32,1.00,1.23,1.49,1.33,2.04,1.50746269,1.65,1.46,1.94,1.95,1.80,1.00,2.31,35.90,1.14,1.00,1.00,1.25,1.38,1.26,2.25,39
Bertrand TraorÃ©,0.630182677,0.119,0.688316606,0.43,0.7479216,0.52,33,0.82545792,0.37,45,Strikers,Aston Villa,24.00,2.22,2.82,2.34,3.06,1.55,2.44,2.71,2.38,2.59,2.37,3.45,2.76119403,2.03,1.29,2.49,3.79,2.50,1.00,3.92,45.60,2.67,4.05,1.00,2.26,2.13,1.9,3.61,55
Billy Sharp,0.813354327,0.206,0.71007966,0.44,0.844278621,0.7,14,0.84233748,0.55,11,Strikers,Sheffield Utd,34.00,1.52,1.00,3.22,2.97,3.62,1.00,1.00,1.18,1.00,1.11,1.00,1.08955224,1.52,3.38,1.50,1.00,1.00,1.00,1.29,26.50,4.06,1.00,1.00,1.09,1.14,1.26,1.43,23
Callum Wilson,0.782088495,0.181,0.563009077,0.32,0.617287032,0.49,37,0.679728,0.44,32,Strikers,Newcastle Utd,28.00,3.09,2.18,2.45,3.10,1.14,2.76,2.43,1.92,1.55,1.66,2.58,1.50746269,2.16,3.69,2.89,2.02,2.10,3.00,2.56,23.50,3.20,1.95,1.00,1.93,2.22,2.55,3.29,45
Che Adams,0.51985962,0.121,0.747475921,0.44,0.44891434,0.37,50,0.7719156,0.5,22,Strikers,Southampton,24.00,2.57,3.55,4.68,2.97,1.03,2.28,2.43,3.57,2.64,2.32,3.05,2.73134328,3.06,2.54,4.08,3.03,2.50,3.00,3.23,25.00,3.01,1.19,1.00,1.78,2.22,1.65,4.09,43
Chris Wood,0.507568884,0.143,0.435078275,0.29,0.51612762,0.38,49,0.55802844,0.36,47,Strikers,Burnley,28.00,3.09,4.09,4.66,2.46,1.00,2.28,1.86,1.92,2.04,1.22,2.41,1.92537313,2.29,3.00,2.91,2.71,2.80,1.00,2.85,43.90,2.47,1.76,2.33,1.41,1.66,1.52,4.19,39
Christian Benteke,0.58263395,0.181,0.573705117,0.32,0.573713986,0.47,41,0.643979538,0.38,42,Strikers,Crystal Palace,29.00,2.74,3.73,3.64,3.48,1.41,1.80,1.29,1.37,1.60,1.71,2.11,1.89552239,2.03,3.26,2.07,2.08,4.60,1.00,2.40,58.60,2.88,1.57,1.67,1.37,1.42,1.65,2.92,44
Daniel James,0.827049107,0.177,0.864098336,0.49,0.91542614,0.74,7,0.9364536,0.59,4,Strikers,Manchester Utd,22.00,1.52,1.27,2.33,3.10,3.62,1.48,1.29,1.46,1.33,1.60,1.37,1.65671642,2.03,3.58,1.80,2.21,1.30,1.00,1.98,31.60,2.47,1.00,1.00,1.79,1.75,1.71,1.67,74
Danny Ings,0.71102332,0.175,0.618775707,0.36,0.816549,0.62,23,0.78537579,0.47,25,Strikers,Southampton,28.00,3.09,2.91,3.30,4.05,1.33,2.60,2.14,2.10,1.99,1.99,2.75,2.37313433,2.55,2.28,2.99,4.11,2.60,5.00,3.02,25.30,3.09,2.71,3.00,1.69,2.04,1.9,3.41,43
Danny Welbeck,0.660827027,0.155,0.711845117,0.47,0.547956167,0.49,37,0.7140461,0.45,27,Strikers,Brighton,29.00,2.04,2.00,3.16,2.62,1.17,1.80,1.29,1.92,1.99,1.27,2.51,1.53731343,1.90,3.11,2.17,2.46,2.00,1.00,2.02,29.90,3.32,1.57,1.00,1.53,1.47,1.26,2.54,41
Diogo Jota,0.766611064,0.255,1.000001059,0.47,0.999999522,0.88,4,0.999999,0.67,1,Strikers,Liverpool,23.00,2.57,3.09,4.81,3.63,1.25,1.48,1.00,1.64,1.44,1.71,1.97,2.28358209,2.16,3.38,2.52,1.95,1.30,1.00,2.33,26.90,2.98,1.38,1.67,2.19,2.27,2.29,1.95,69
Dominic Calvert-Lewin,0.521047368,0.167,0.412367445,0.25,0.406831238,0.33,52,0.581597442,0.36,47,Strikers,Everton,23.00,3.78,4.91,4.85,3.06,1.03,2.44,1.00,1.83,1.71,1.55,2.51,1.98507463,2.42,3.33,3.06,2.97,4.00,1.00,3.15,49.30,1.95,1.38,1.00,1.77,1.99,2.23,4.37,59
Edinson Cavani,0.684787148,0.229,0.797037478,0.47,0.515291566,0.44,46,0.78282298,0.49,23,Strikers,Manchester Utd,33.00,2.74,2.09,3.22,3.70,1.25,1.64,1.86,2.15,1.60,1.66,1.97,1.44776119,2.29,3.49,2.12,1.70,2.00,1.00,2.27,32.10,1.67,1.38,1.00,1.10,1.09,1.06,2.31,74
FÃ¡bio Silva,0.665070114,0.143,0.583721968,0.35,0.583944604,0.52,33,0.80408921,0.52,15,Strikers,Wolves,18.00,1.70,2.18,2.27,2.24,1.55,1.64,1.86,1.14,1.38,1.27,1.87,1.41791045,1.65,2.73,2.39,1.76,1.40,1.00,2.15,29.60,2.22,1.57,1.00,1.36,1.42,1.39,2.3,45
Gabriel Jesus,0.78926828,0.152,0.712706932,0.45,0.699256984,0.59,27,0.80039027,0.51,19,Strikers,Manchester City,23.00,2.57,2.18,1.66,2.94,1.41,2.76,2.14,2.47,2.32,1.71,3.22,1.8358209,2.55,2.54,3.24,3.10,1.30,1.00,2.90,18.40,3.20,2.33,1.67,2.35,2.27,2.61,3.26,86
Gareth Bale,1.000001599,0.335,0.999999326,0.67,0.999999,0.89,2,0.999999857,0.52,15,Strikers,Tottenham,31.00,2.91,2.45,4.05,4.68,2.24,1.80,1.57,1.78,1.88,1.82,2.34,1.86567164,2.03,2.98,1.50,2.27,2.60,1.00,2.21,66.70,3.10,2.52,1.00,1.76,1.75,1.71,1.68,62
Harry Kane,0.999997989,0.207,0.867821327,0.49,0.99586,0.7,14,0.660386088,0.35,50,Strikers,Tottenham,27.00,5.00,5.00,2.30,3.67,1.08,5.00,5.00,4.31,3.41,3.19,4.63,4.64179105,2.42,3.11,3.11,3.54,5.00,1.00,3.98,41.10,3.12,4.43,5.00,2.76,3.45,2.68,4.66,62
Jamie Vardy,0.938456298,0.161,0.624955327,0.36,0.729935337,0.46,45,0.474786317,0.31,51,Strikers,Leicester City,33.00,3.61,3.18,2.52,1.38,1.00,4.36,3.57,3.16,2.26,1.55,2.98,1.65671642,1.90,2.36,2.61,2.21,3.80,1.00,2.48,45.20,3.23,3.29,3.00,1.80,1.66,3.19,4.33,66
Kelechi Iheanacho,0.734123338,0.246,0.834572696,0.54,0.80983284,0.72,11,0.722503054,0.44,32,Strikers,Leicester City,23.00,3.09,3.00,3.24,4.21,1.17,1.48,1.57,2.24,2.15,2.15,2.31,1.7761194,2.03,3.58,1.99,2.14,1.00,1.00,2.23,17.30,3.20,2.14,1.67,1.77,2.13,1.52,2.43,66
Marcus Rashford,0.814467577,0.127,0.77479987,0.4,0.900813667,0.73,9,0.63519652,0.3,52,Strikers,Manchester Utd,22.00,2.91,4.00,3.53,3.41,1.11,3.88,3.57,2.56,3.03,4.01,4.36,3.7761194,2.16,2.88,2.49,2.84,1.80,1.00,3.71,51.10,2.76,4.05,2.33,3.80,4.44,4.94,4.44,74
Mason Greenwood,0.573057086,0.147,0.656822879,0.35,0.93938296,0.68,16,0.729290869,0.44,32,Strikers,Manchester Utd,18.00,2.22,2.82,2.21,2.75,1.22,1.80,1.57,1.74,1.60,1.88,2.51,2.1641791,2.42,2.91,2.49,1.70,1.20,1.00,2.69,29.20,2.63,2.52,2.33,2.58,2.18,3.26,2.93,74
Matej Vydra,0.790962777,0.127,0.685057089,0.43,1.000000878,0.71,12,0.87430302,0.56,10,Strikers,Burnley,28.00,1.52,1.55,1.20,1.89,1.25,1.96,1.57,1.74,1.55,1.44,2.08,1.29850746,1.65,3.11,2.61,1.95,1.60,1.00,1.77,24.20,3.57,3.10,2.33,1.34,1.28,1.65,2.31,39
